Order_id,old_taxonID_linked_genome_sequence,new_taxonID_in_Fig.1,No. Complete and single-copy,No. Complete and duplicated,No. Fragmented,Missing,No. Complete and single-copy(pct),CUG_usage,#Organism Name linked to NCBI record,Strain linked to NCBI record,species linked to NCBI record,genus linked to NCBI record,family/clade linked to NCBI record,order linked to NCBI record,class linked to NCBI record,subphyum linked to NCBI record,phyum linked to NCBI record,Current species name in Mycobank,genus in Mycobank, family in Mycobank,order in Mycobank,class in Mycobank,subphylum in Mycobank,phylum in Mycobank,Assembly,Link
1305,Tremella_mesenterica,Tremella_mesenterica,266,1,4,19,91.72413793,Leu,Tremella mesenterica DSM 1558,Fries,Tremella mesenterica,Tremella,Tremellaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,Tremella mesenterica,Tremella,Tremellaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_000271645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/271/645/GCA_000271645.1_Treme1
1306,Wallemia_mellicola,Wallemia_mellicola,266,0,6,18,91.72413793,Leu,Wallemia mellicola,EXF-5830,Wallemia mellicola,Wallemia,Wallemiaceae,Wallemiales,Wallemiomycetes,Wallemiomycotina,Basidiomycota,Wallemia mellicola,Wallemia,Wallemiaceae,Wallemiales,Wallemiomycetes,Wallemiomycotina,Basidiomycota,GCA_004918645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/918/645/GCA_004918645.1_ASM491864v1
1307,Kwoniella_pini,Kwoniella_pini,267,1,4,18,92.06896552,Leu,Kwoniella pini CBS 10737,CBS 10737,Kwoniella pini,Kwoniella,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,Kwoniella pini,Kwoniella,no_rank,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_000512605.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/512/605/GCA_000512605.2_Cryp_pinu_CBS10737_V1
1308,Lactarius_deliciosus,Lactarius_deliciosus,267,1,7,15,92.06896552,Leu,Lactarius deliciosus,MG9,Lactarius deliciosus,Lactarius,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,Lactarius deliciosus,Lactarius,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003316005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/005/GCA_003316005.1_ASM331600v1
1309,Omphalotus_olearius,Omphalotus_olearius,267,0,5,18,92.06896552,Leu,Omphalotus olearius VT 653.13,VT 653.13,Omphalotus olearius,Omphalotus,Omphalotaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Omphalotus olearius,Omphalotus,Omphalotaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000296255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/255/GCA_000296255.1_OmpOle_1.0
1310,Phaffia_rhodozyma,Phaffia_rhodozyma,267,0,6,17,92.06896552,Leu,Phaffia rhodozyma,CBS 7918,Phaffia rhodozyma,Phaffia,Mrakiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,Phaffia rhodozyma,Phaffia,Cystofilobasidiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_001579715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/579/715/GCA_001579715.1_ASM157971v1
1311,Rhizopogon_rudus,Rhizopogon_rudus,267,3,7,13,92.06896552,Leu,Rhizopogon rudus,AM-MX12-026,Rhizopogon rudus,Rhizopogon,Rhizopogonaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,Rhizopogon rudus,Rhizopogon,Rhizopogonaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_002994895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/994/895/GCA_002994895.1_MX12-026_Rhirud_1.0
1312,Agrocybe_cylindracea,Agrocybe_cylindracea,268,4,7,11,92.4137931,Leu,Agrocybe cylindracea,MG21,Agrocybe cylindracea,Agrocybe,Bolbitiaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Cyclocybe cylindracea,Cyclocybe,Strophariaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003316655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/655/GCA_003316655.1_ASM331665v1
1313,Ceraceosorus_guamensis,Ceraceosorus_guamensis,268,0,5,17,92.4137931,Leu,Ceraceosorus guamensis,MCA 4658,Ceraceosorus guamensis,Ceraceosorus,Ceraceosoraceae,Ceraceosorales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,Ceraceosorus guamensis,Ceraceosorus,Ceraceosoraceae,Ceraceosorales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,GCA_003144195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/195/GCA_003144195.1_Cersp1
1314,Ceratobasidium_theobromae,Ceratobasidium_theobromae,268,3,7,12,92.4137931,Leu,Ceratobasidium theobromae,CT2,Ceratobasidium theobromae,Ceratobasidium,Ceratobasidiaceae,Cantharellales,Agaricomycetes,Agaricomycotina,Basidiomycota,Rhizoctonia theobromae,Rhizoctonia,Ceratobasidiaceae,Cantharellales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_009078325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/078/325/GCA_009078325.1_ASM907832v1
1315,Golubevia_pallescens,Golubevia_pallescens,268,1,5,16,92.4137931,Leu,Golubevia pallescens,JCM 5230,Golubevia pallescens,Golubevia,Golubeviaceae,Golubeviales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,Golubevia pallescens,Golubevia,Golubeviaceae,Golubeviales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,GCA_001599655.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/655/GCA_001599655.1_JCM_5230_assembly_v001
1316,Lactarius_volemus,Lactarius_volemus,268,4,7,11,92.4137931,Leu,Lactarius volemus,MG8,Lactarius volemus,Lactarius,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,Lactarius volemus,Lactarius,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003315835.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/315/835/GCA_003315835.1_ASM331583v1
1317,Phellinidium_pouzarii,Phellinidium_pouzarii,268,1,9,12,92.4137931,Leu,Phellinidium pouzarii,DSM 108285,Phellinidium pouzarii,Phellinidium,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,Phellinidium pouzarii,Phellinidium,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_004802695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/802/695/GCA_004802695.1_ASM480269v1
1318,Tremella_fuciformis,Tremella_fuciformis,268,0,4,18,92.4137931,Leu,Tremella fuciformis,tr26,Tremella fuciformis,Tremella,Tremellaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,Tremella fuciformis,Tremella,Tremellaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_000987905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/987/905/GCA_000987905.1_ASM98790v1
1319,Tricholoma_flavovirens,Tricholoma_flavovirens,268,0,10,12,92.4137931,Leu,Tricholoma flavovirens,MG32,Tricholoma flavovirens,Tricholoma,Tricholomataceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Tricholoma equestre,Tricholoma,Tricholomataceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003313805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/805/GCA_003313805.1_ASM331380v1
1320,Amanita_jacksonii,Amanita_jacksonii,269,0,6,15,92.75862069,Leu,Amanita jacksonii TRTC168611,,Amanita jacksonii,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Amanita jacksonii,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000497225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/225/GCA_000497225.1_AmaJack1.0
1321,Auricularia_heimuer,Auricularia_heimuer,269,6,3,12,92.75862069,Leu,Auricularia heimuer,Dai 13782,Auricularia heimuer,Auricularia,Auriculariaceae,Auriculariales,Agaricomycetes,Agaricomycotina,Basidiomycota,Auricularia heimuer,Auricularia,Auriculariaceae,Auriculariales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_002287115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/115/GCA_002287115.1_ASM228711v1
1322,Fistulina_hepatica,Fistulina_hepatica,269,9,5,7,92.75862069,Leu,Fistulina hepatica ATCC 64428,ATCC 64428,Fistulina hepatica,Fistulina,Fistulinaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Fistulina hepatica,Fistulina,Fistulinaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000934395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/934/395/GCA_000934395.1_Fishe1
1323,Hydnomerulius_pinastri,Hydnomerulius_pinastri,269,7,2,12,92.75862069,Leu,Hydnomerulius pinastri MD-312,MD-312,Hydnomerulius pinastri,Hydnomerulius,Paxillaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,Leucogyrophana pinastri,Leucogyrophana,Hygrophoropsidaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000827185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/185/GCA_000827185.1_Hydpi2
1324,Malassezia_globosa,Malassezia_globosa,269,1,8,12,92.75862069,Leu,Malassezia globosa CBS 7966,CBS 7966,Malassezia globosa,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes,Ustilaginomycotina,Basidiomycota,Malassezia globosa,Malassezia,no_rank,Malasseziales,Malasseziomycetes,Ustilaginomycotina,Basidiomycota,GCA_000181695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/181/695/GCA_000181695.1_ASM18169v1
1325,Malassezia_restricta,Malassezia_restricta,269,0,5,16,92.75862069,Leu,Malassezia restricta,KCTC 27527,Malassezia restricta,Malassezia,Malasseziaceae,Malasseziales,Malasseziomycetes,Ustilaginomycotina,Basidiomycota,Malassezia restricta,Malassezia,no_rank,Malasseziales,Malasseziomycetes,Ustilaginomycotina,Basidiomycota,GCA_003290485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/290/485/GCA_003290485.1_ASM329048v1
1326,Neoboletus_magnificus,Neoboletus_magnificus,269,0,8,13,92.75862069,Leu,Neoboletus magnificus,MG22,Neoboletus magnificus,Neoboletus,Boletaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,Sutorius magnificus,Sutorius,Boletaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003316145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/145/GCA_003316145.1_ASM331614v1
1327,Rhizopogon_vesiculosus,Rhizopogon_vesiculosus,269,2,4,15,92.75862069,Leu,Rhizopogon vesiculosus,AM-OR11-056,Rhizopogon vesiculosus,Rhizopogon,Rhizopogonaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,Rhizopogon vesiculosus,Rhizopogon,Rhizopogonaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_001882365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/882/365/GCA_001882365.1_Rves_AM-OR11-056_1.0
1328,Rickenella_mellea,Rickenella_mellea,269,5,3,13,92.75862069,Leu,Rickenella mellea,SZMC22713,Rickenella mellea,Rickenella,no_rank,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,Rickenella mellea,Rickenella,Rickenellaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_004355085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/355/085/GCA_004355085.1_Ricmel1
1329,Termitomyces_sp._JCM_13351,Termitomyces_sp._JCM_13351,269,1,8,12,92.75862069,Leu,Termitomyces sp. JCM 13351,JCM 13351,Termitomyces sp. JCM 13351,Termitomyces,Lyophyllaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,NA,Termitomyces,Lyophyllaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_001972325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/972/325/GCA_001972325.1_JCM_13351_assembly_v001
1330,Trametes_cinnabarina,Trametes_cinnabarina,269,5,5,11,92.75862069,Leu,Trametes cinnabarina,BRFM137,Trametes cinnabarina,Trametes,Polyporaceae,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,Pycnoporus cinnabarinus,Pycnoporus,Polyporaceae,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000765035.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/765/035/GCA_000765035.1_BN946
1331,Cryptococcus_depauperatus,Cryptococcus_depauperatus,270,0,2,18,93.10344828,Leu,Cryptococcus depauperatus CBS 7841,CBS 7841,Cryptococcus depauperatus,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,Cryptococcus depauperatus,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_001720195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/720/195/GCA_001720195.1_Filo_depa_CBS7841_V1
1332,Cryptococcus_gattii_VGII,Cryptococcus_gattii_VGII,270,1,7,12,93.10344828,Leu,Cryptococcus gattii VGII,R265,Cryptococcus gattii VGII,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,Cryptococcus gattii VGII,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_003011995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/011/995/GCA_003011995.1_ASM301199v1
1333,Galerina_marginata,Galerina_marginata,270,6,2,12,93.10344828,Leu,Galerina marginata CBS 339.88,CBS 339.88,Galerina marginata,Galerina,Strophariaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Galerina marginata,Galerina,Strophariaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000697645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/645/GCA_000697645.1_Galma1
1334,Hebeloma_cylindrosporum,Hebeloma_cylindrosporum,270,1,6,13,93.10344828,Leu,Hebeloma cylindrosporum h7,h7,Hebeloma cylindrosporum,Hebeloma,Cortinariaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Hebeloma cylindrosporum,Hebeloma,Strophariaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000827355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/355/GCA_000827355.1_Hebeloma_cylindrosporum_h7_v2.0
1335,Meira_miltonrushii,Meira_miltonrushii,270,0,0,20,93.10344828,Leu,Meira miltonrushii,MCA 3882,Meira miltonrushii,Meira,Brachybasidiaceae,Exobasidiales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,Meira miltonrushii,Meira,Brachybasidiaceae,Exobasidiales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,GCA_003144205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/205/GCA_003144205.1_Meimi1
1336,Melampsora_laricipopulina,Melampsora_laricipopulina,270,5,4,11,93.10344828,Leu,Melampsora larici-populina 98AG31,98AG31,Melampsora larici-populina,Melampsora,Melampsoraceae,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,Melampsora larici-populina,Melampsora,Melampsoraceae,Pucciniales,Pucciniomycetes,Pucciniomycotina,Basidiomycota,GCA_000204055.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/055/GCA_000204055.1_v1.0
1337,Mrakia_psychrophila,Mrakia_psychrophila,270,1,7,12,93.10344828,Leu,Mrakia psychrophila,NN053900,Mrakia psychrophila,Mrakia,Mrakiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,Mrakia psychrophila,Mrakia,Cystofilobasidiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_001889225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/225/GCA_001889225.1_MPSYv1
1338,Naganishia_albida,Naganishia_albida,270,1,3,16,93.10344828,Leu,[Cryptococcus] albidus var. albidus,NRRL Y-1402,Naganishia albida,Naganishia,Filobasidiaceae,Filobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,Naganishia albida,Naganishia,Filobasidiaceae,Filobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_001444555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/444/555/GCA_001444555.1_ASM144455v1
1339,Russula_virescens,Russula_virescens,270,2,9,9,93.10344828,Leu,Russula virescens,MG14,Russula virescens,Russula,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,Russula virescens,Russula,Russulaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003316435.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/316/435/GCA_003316435.1_ASM331643v1
1340,Sistotremastrum_niveocremeum,Sistotremastrum_niveocremeum,270,2,3,15,93.10344828,Leu,Sistotremastrum niveocremeum HHB9708,HHB9708,Sistotremastrum niveocremeum,Sistotremastrum,Hydnodontaceae,Trechisporales,Agaricomycetes,Agaricomycotina,Basidiomycota,Sistotremastrum niveocremeum,Sistotremastrum,Hydnodontaceae,Trechisporales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_001630475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/630/475/GCA_001630475.1_Sisni1
1341,Termitomyces_heimii,Termitomyces_heimii,270,0,9,11,93.10344828,Leu,Termitomyces heimii,MG15,Termitomyces heimii,Termitomyces,Lyophyllaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Termitomyces heimii,Termitomyces,Lyophyllaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003313675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/675/GCA_003313675.1_ASM331367v1
1342,Cryptococcus_sp._DSM_27421,Cryptococcus_sp._DSM_27421,271,3,4,12,93.44827586,Leu,Cryptococcus floricola,DSM 27421,Cryptococcus sp. DSM 27421,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,NA,Cryptococcus,Cryptococcaceae,Tremellales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_006352305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/352/305/GCA_006352305.1_ASM635230v1
1343,Dentipellis_fragilis,Dentipellis_fragilis,271,1,8,10,93.44827586,Leu,Dentipellis fragilis,DSM 105465,Dentipellis fragilis,Dentipellis,Hericiaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,Dentipellis fragilis,Dentipellis,Hericiaceae,Russulales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_004679275.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/679/275/GCA_004679275.1_ASM467927v1
1344,Fomitopsis_rosea,Fomitopsis_rosea,271,3,1,15,93.44827586,Leu,Fomitopsis rosea,DSM 105464,Fomitopsis rosea,Fomitopsis,Fomitopsidaceae,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,Fomitopsis rosea,Fomitopsis,Fomitopsidaceae,Polyporales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_004679265.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/679/265/GCA_004679265.1_ASM467926v1
1345,Glaciozyma_antarctica,Glaciozyma_antarctica,271,0,6,13,93.44827586,Leu,Glaciozyma antarctica PI12,PI12,Glaciozyma antarctica,Glaciozyma,Camptobasidiaceae,Kriegeriales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,Glaciozyma antarctica,Glaciozyma,Camptobasidiaceae,Kriegeriales,Microbotryomycetes,Pucciniomycotina,Basidiomycota,GCA_002917775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/917/775/GCA_002917775.1_ASM291777v1
1346,Gloeophyllum_trabeum,Gloeophyllum_trabeum,271,3,4,12,93.44827586,Leu,Gloeophyllum trabeum ATCC 11539,ATCC 11539,Gloeophyllum trabeum,Gloeophyllum,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Agaricomycotina,Basidiomycota,Gloeophyllum trabeum,Gloeophyllum,Gloeophyllaceae,Gloeophyllales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000344685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/344/685/GCA_000344685.1_Glotr1_1
1347,Mrakia_blollopis,Mrakia_blollopis,271,3,3,13,93.44827586,Leu,Mrakia blollopis,SK-4,Mrakia blollopis,Mrakia,Mrakiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,Mrakia blollopis,Mrakia,Cystofilobasidiaceae,Cystofilobasidiales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_000950635.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/950/635/GCA_000950635.1_ASM95063v1
1348,Pascua_guehoae,Pascua_guehoae,271,1,9,9,93.44827586,Leu,Pascua guehoae,JCM 10690,Pascua guehoae,Pascua,no_rank,Trichosporonales,Tremellomycetes,Agaricomycotina,Basidiomycota,Pascua guehoae,Pascua,Trichosporonaceae,Trichosporonales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_001600415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/600/415/GCA_001600415.1_JCM_10690_assembly_v001
1349,Paxillus_rubicundulus,Paxillus_rubicundulus,271,3,3,13,93.44827586,Leu,Paxillus rubicundulus Ve08.2h10,Ve08.2h10,Paxillus rubicundulus,Paxillus,Paxillaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,Paxillus rubicundulus,Paxillus,Paxillaceae,Boletales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_000827395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/827/395/GCA_000827395.1_Paxillus_rubicundulus_Ve08.2h10_v1.0
1350,Pyrrhoderma_noxium,Pyrrhoderma_noxium,271,2,3,14,93.44827586,Leu,Pyrrhoderma noxium,FFPRI411160,Pyrrhoderma noxium,Pyrrhoderma,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,Pyrrhoderma noxium,Pyrrhoderma,Hymenochaetaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_002287475.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/287/475/GCA_002287475.2_ASM228747v2
1351,Schizopora_paradoxa,Schizopora_paradoxa,271,8,1,10,93.44827586,Leu,Schizopora paradoxa,KUC8140,Schizopora paradoxa,Schizopora,Schizoporaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,Schizopora paradoxa,Schizopora,Schizoporaceae,Hymenochaetales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_001020605.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/020/605/GCA_001020605.1_Schpa1
1352,Sistotremastrum_suecicum,Sistotremastrum_suecicum,271,4,4,11,93.44827586,Leu,Sistotremastrum suecicum HHB10207 ss-3,HHB10207 ss-3,Sistotremastrum suecicum,Sistotremastrum,Hydnodontaceae,Trechisporales,Agaricomycetes,Agaricomycotina,Basidiomycota,Sistotremastrum suecicum,Sistotremastrum,Hydnodontaceae,Trechisporales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_001632355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/632/355/GCA_001632355.1_Sissu1
1353,Tilletiopsis_washingtonensis,Tilletiopsis_washingtonensis,271,0,5,14,93.44827586,Leu,Tilletiopsis washingtonensis,MCA 4186,Tilletiopsis washingtonensis,Tilletiopsis,no_rank,Entylomatales,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,Tilletiopsis washingtonensis,Tilletiopsis,no_rank,no_rank,Exobasidiomycetes,Ustilaginomycotina,Basidiomycota,GCA_003144115.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/115/GCA_003144115.1_Tilwa1
1354,Tricholoma_bakamatsutake,Tricholoma_bakamatsutake,271,3,7,9,93.44827586,Leu,Tricholoma bakamatsutake,MG51,Tricholoma bakamatsutake,Tricholoma,Tricholomataceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Tricholoma bakamatsutake,Tricholoma,Tricholomataceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_003313665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/313/665/GCA_003313665.1_ASM331366v1
1355,Wallemia_ichthyophaga,Wallemia_ichthyophaga,271,0,2,17,93.44827586,Leu,Wallemia ichthyophaga,EXF-6200,Wallemia ichthyophaga,Wallemia,Wallemiaceae,Wallemiales,Wallemiomycetes,Wallemiomycotina,Basidiomycota,Wallemia sebi,Wallemia,Wallemiaceae,Wallemiales,Wallemiomycetes,Wallemiomycotina,Basidiomycota,GCA_004918755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/918/755/GCA_004918755.1_ASM491875v1
1356,Amanita_thiersii,Amanita_thiersii,272,1,5,12,93.79310345,Leu,Amanita thiersii Skay4041,SKay4041,Amanita thiersii,Amanita,Amanitaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,Saproamanita thiersii,Saproamanita,Amanitaceae,Agaricales,Agaricomycetes,Agaricomycotina,Basidiomycota,GCA_002554575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/554/575/GCA_002554575.1_Amanita_thiersii_v1.0
1357,Cutaneotrichosporon_dermatis,Cutaneotrichosporon_dermatis,272,1,4,13,93.79310345,Leu,Cutaneotrichosporon dermatis,JCM 11170,Cutaneotrichosporon dermatis,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Agaricomycotina,Basidiomycota,Cutaneotrichosporon dermatis,Cutaneotrichosporon,Trichosporonaceae,Trichosporonales,Tremellomycetes,Agaricomycotina,Basidiomycota,GCA_003116895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/116/895/GCA_003116895.1_JCM_11170_assembly_v001
